=== Whisper转录结果 ===
音频文件: ba84462e-fdee-42fe-9439-86808b3d3212.wav
使用模型: tiny
检测语言: zh
语言概率: 未知
转录时间: 30.36秒

转录文本:
好心收你好您好您可以自血了我想问一下就是我们家老人有高血糖高血壓现在这段这个压层我们家老人有高血糖高血壓现在这段这个压层我们家老人有高血糖高血壓现在这段这个压层我们家老人有高血糖高血壓现在这段这个压层我们在去一个看了一下说是压层压层有一个压壞了要把但是他现在血糖血壓还没控的下来就先给大家控制好的要再提起什么东西这个压层是10年的压层这种情况下他能吃到什么药吗那您当时去到医院里医生给您的所谓的控制的药里有设计到尺导或者是交缘的药物吗他没有给我们开任何药就说要回来把血糖血壓你们降草来然后再去拔牙那您现在再做机极的血壓血糖的调整是血壓血糖多大来了但跟说要把那个阿斯汽里也要停要一周我们还没到时间您现在去认您现在的压层是绝对的压层的问题而不是比如说新杠习病断脑习病等总造成了一些添草痛是吧如果说的草层是什么添草痛的话他会有其他的就是感觉吗没有但是您需要除外新杠新脑痛或者其他的一些比较造成的一些放手痛或者是添草到的一些糖泡就是您能确认口腔课说您的压层是确实有跟美好的问题能够引起你当前的这个糖泡对吗对他看了说已经烂了你现在停了四匹林多少钱了成了第二期三天三天基本也可以了吧应该我我能建议您的说因为您当前能用的如果是确定是压层的痛痛那您只能用的就是只同药但是其实只同药要我来说有些风险比如说他会造成一些因为有糖泡病有其实高血液他会和病你接其他草息的整体只要你能确认缸设没有将一能功能不去没有消化到出血或者亏扬这些严重的非常疾病那您是可以适着用一些直桶药的比如说这场用的不落分这类的那个我吃了你先说讲起来了你可以去试着去要店看看有没有那叫压痛听的就是举部用在您这颗怪压的举部他可能会涉及到一些举部用药就是把一些就是他是一个酒精之气里边可能是有一些由于压层的举尺随的一些病病造成的这些问题他可以站曲一部分各在压层局部能够起到一间的直桶药部可以看还有没有这样的话会涯会用药药会用风简会小一阶吧只能试一下好的他就压动净去愿去愿问一下如果说他挺要三天也能接受或者说他就是这颗怪压造成的你不对压层丁能手术的处理的话你任何药指是简单追究教过去就好他这个压痛丁的这种就是压痛丁的丁一个酒之旁一个丁丁我知道了我刚才打电话会就一线他说的光纳纸统不减还让修业那这旁边跟荷业老人说修业用很能吃什么脑子你好你讲没讲过将这类的苦方用药你这好还是去愿让一生给你开吧人就知道我们电话自行是不能用一些开具一些苦方药的这个不活归我想问一下能吃这个荷丛分一分叫什么解释一下荷丛解释一下荷丛分不分的荷丛拿了一个药没听过这个药为什么后面还有其他的荷丛这家里的荷丛荷丛就叫这个名放松荷丛能吃得好错吗想想做会有一些非常到重的可能会对当机有一定的就你看他技术问题技术情况不了解的话不缺定想要我就还去去愿去太演设计学也算好我觉得这样更安全你能打电话去到太弄接着你给您建议的话那您活不过你要是方面就以而且年龄这么大和冰座和冰的这些疾病这么多你就更应该解释一下医院警察你个人也得警设因为这样的老闆对实际风险比较大而且按下你局部的严重情况医生给您开药因为如果严重很重的话他也不愿意给您拔出我风险也大这些人创考一旦感染不如何和病其他问题您风险更大所以没必要您自己大家都觉得严重不是病或者是脚病当然他主要是其他相关风险太多好他还要慢慢提救他如果是跟金棒什么金粉然后有关也会引起严严听个很多人有一部分人他表现就不是单纯的经常的举部或者肩败就表现了压草他们有人拔绝的都手套好 谢谢不客气您还有其他小子群没有你没有其他子群的话少会对付金屏下的见

详细时间戳:
[0.00s - 5.00s] 好心收
[5.00s - 7.00s] 你好
[7.00s - 9.00s] 您好您可以自血了
[9.00s - 14.00s] 我想问一下就是我们家老人有高血糖高血壓
[14.00s - 17.00s] 现在这段这个压层
[17.00s - 19.00s] 我们家老人有高血糖高血壓
[19.00s - 21.00s] 现在这段这个压层
[21.00s - 23.00s] 我们家老人有高血糖高血壓
[23.00s - 25.00s] 现在这段这个压层
[25.00s - 27.00s] 我们家老人有高血糖高血壓
[27.00s - 29.00s] 现在这段这个压层
[29.00s - 31.00s] 我们在去一个看了一下
[31.00s - 32.00s] 说是压层压层
[32.00s - 33.00s] 有一个压壞了
[33.00s - 34.00s] 要把
[34.00s - 36.00s] 但是他现在血糖血壓
[36.00s - 37.00s] 还没控的下来
[37.00s - 39.00s] 就先给大家控制
[42.00s - 43.00s] 好的
[43.00s - 45.00s] 要再提起什么东西
[45.00s - 48.00s] 这个压层是10年的压层
[48.00s - 49.00s] 这种情况下
[49.00s - 51.00s] 他能吃到什么药吗
[52.00s - 56.00s] 那您当时去到医院里
[56.00s - 59.00s] 医生给您的所谓的控制的药里
[59.00s - 61.00s] 有设计到尺导
[61.00s - 63.00s] 或者是交缘的药物吗
[63.00s - 65.00s] 他没有给我们开任何药
[65.00s - 68.00s] 就说要回来把血糖血壓
[68.00s - 70.00s] 你们降草来然后再去拔牙
[70.00s - 74.00s] 那您现在再做机极的血壓血糖的调整
[74.00s - 76.00s] 是
[76.00s - 78.00s] 血壓血糖多大来了
[78.00s - 80.00s] 但跟说要把那个
[80.00s - 82.00s] 阿斯汽里也要停要一周
[82.00s - 84.00s] 我们还没到时间
[87.00s - 90.00s] 您现在去认您现在的压层
[90.00s - 92.00s] 是绝对的压层的问题
[92.00s - 94.00s] 而不是比如说
[94.00s - 96.00s] 新杠习病断脑习病
[96.00s - 99.00s] 等总造成了一些添草痛是吧
[101.00s - 103.00s] 如果说的草层是什么添草
[103.00s - 104.00s] 痛的话
[104.00s - 106.00s] 他会有其他的就是感觉吗
[107.00s - 108.00s] 没有
[108.00s - 110.00s] 但是您需要除外新杠
[110.00s - 112.00s] 新脑痛或者其他的一些
[112.00s - 116.00s] 比较造成的一些放手痛
[116.00s - 118.00s] 或者是添草到的一些糖泡
[118.00s - 122.00s] 就是您能确认口腔课说
[122.00s - 127.00s] 您的压层是确实有跟美好的问题
[127.00s - 130.00s] 能够引起你当前的这个糖泡
[130.00s - 131.00s] 对吗
[131.00s - 132.00s] 对
[132.00s - 133.00s] 他看了说已经烂了
[133.00s - 138.00s] 你现在停了四匹林多少钱了
[138.00s - 141.00s] 成了第二期三天
[141.00s - 144.00s] 三天基本也可以了吧
[144.00s - 147.00s] 应该我
[147.00s - 150.00s] 我能建议您的说
[150.00s - 152.00s] 因为您当前能用的
[152.00s - 155.00s] 如果是确定是压层的痛痛
[155.00s - 158.00s] 那您只能用的就是只同药
[158.00s - 160.00s] 但是其实只同药
[160.00s - 163.00s] 要我来说有些风险
[163.00s - 167.00s] 比如说他会造成一些
[167.00s - 169.00s] 因为有糖泡病有其实
[169.00s - 170.00s] 高血液
[170.00s - 173.00s] 他会和病你接其他草息的整体
[173.00s - 175.00s] 只要你能确认
[175.00s - 179.00s] 缸设没有将一能功能不去
[179.00s - 181.00s] 没有消化到出血
[181.00s - 184.00s] 或者亏扬这些严重的非常疾病
[184.00s - 187.00s] 那您是可以适着用一些直桶药的
[187.00s - 189.00s] 比如说这场用的不落分
[189.00s - 190.00s] 这类的
[192.00s - 194.00s] 那个
[194.00s - 195.00s] 我吃了
[195.00s - 197.00s] 你先说
[197.00s - 198.00s] 讲起来了
[198.00s - 200.00s] 你可以去试着去
[200.00s - 201.00s] 要店看看
[201.00s - 203.00s] 有没有那叫压痛听的
[203.00s - 207.00s] 就是举部用在您这颗怪压的举部
[207.00s - 210.00s] 他可能会涉及到一些举部用药
[210.00s - 212.00s] 就是把一些
[212.00s - 214.00s] 就是他是一个酒精之气
[214.00s - 216.00s] 里边可能是有一些
[216.00s - 218.00s] 由于压层的举尺
[218.00s - 219.00s] 随的一些病病
[219.00s - 221.00s] 造成的这些问题
[221.00s - 222.00s] 他可以站曲一部分
[222.00s - 224.00s] 各在压层局部能够
[224.00s - 226.00s] 起到一间的直桶药部
[226.00s - 229.00s] 可以看还有没有
[229.00s - 231.00s] 这样的话会涯会用药
[231.00s - 233.00s] 药会用
[233.00s - 235.00s] 风简会小一阶吧
[235.00s - 236.00s] 只能试一下
[236.00s - 237.00s] 好的
[237.00s - 238.00s] 他就压动净
[238.00s - 243.00s] 去愿
[243.00s - 244.00s] 去愿
[244.00s - 245.00s] 问一下
[245.00s - 248.00s] 如果说他挺要三天
[248.00s - 249.00s] 也能接受
[249.00s - 252.00s] 或者说他就是这颗怪压造成的
[252.00s - 253.00s] 你不对压层
[253.00s - 255.00s] 丁能手术的处理的话
[255.00s - 258.00s] 你任何药指是简单追究
[258.00s - 260.00s] 教过去就好
[262.00s - 264.00s] 他这个压痛
[264.00s - 265.00s] 丁的这种
[265.00s - 266.00s] 就是压痛
[266.00s - 267.00s] 丁的丁
[267.00s - 270.00s] 一个酒之旁
[270.00s - 272.00s] 一个丁
[273.00s - 275.00s] 丁
[275.00s - 276.00s] 我知道了
[276.00s - 278.00s] 我刚才打电话会就一线
[278.00s - 279.00s] 他说的
[279.00s - 281.00s] 光纳纸统不减
[281.00s - 282.00s] 还让修业
[282.00s - 284.00s] 那这旁边跟荷业老人
[284.00s - 286.00s] 说修业用很能吃什么脑子
[287.00s - 288.00s] 你好
[288.00s - 289.00s] 你讲没讲过
[289.00s - 291.00s] 将这类的苦方用药
[291.00s - 293.00s] 你这好还是去愿
[293.00s - 295.00s] 让一生给你开吧
[295.00s - 297.00s] 人就知道我们电话
[297.00s - 299.00s] 自行是不能用一些
[299.00s - 300.00s] 开具一些苦方药的
[300.00s - 302.00s] 这个不活归
[304.00s - 306.00s] 我想问一下
[306.00s - 308.00s] 能吃这个荷丛
[308.00s - 310.00s] 分一分
[313.00s - 314.00s] 叫什么
[314.00s - 315.00s] 解释一下荷丛
[315.00s - 316.00s] 解释一下荷丛
[316.00s - 317.00s] 分不分的荷丛
[317.00s - 319.00s] 拿了一个药
[321.00s - 323.00s] 没听过这个药
[323.00s - 326.00s] 为什么后面还有其他的荷丛
[326.00s - 329.00s] 这家里的荷丛
[329.00s - 330.00s] 荷丛就叫这个名
[330.00s - 332.00s] 放松荷丛能吃得好错吗
[332.00s - 335.00s] 想想做会有一些非常到重的
[335.00s - 338.00s] 可能会对当机有一定的
[338.00s - 340.00s] 就
[340.00s - 342.00s] 你看他技术问题
[342.00s - 345.00s] 技术情况不了解的话不缺定
[345.00s - 348.00s] 想要我
[348.00s - 350.00s] 就还去去愿去
[350.00s - 353.00s] 太演设计学也算好
[353.00s - 355.00s] 我觉得这样更安全
[355.00s - 357.00s] 你能打电话去到
[357.00s - 359.00s] 太弄接着你给您建议的话
[359.00s - 361.00s] 那您活不过
[361.00s - 363.00s] 你要是方面就以而且
[363.00s - 365.00s] 年龄这么大和冰座
[365.00s - 367.00s] 和冰的这些疾病这么多
[367.00s - 369.00s] 你就更应该解释一下
[369.00s - 370.00s] 医院警察
[370.00s - 371.00s] 你个人也得警设
[371.00s - 372.00s] 因为这样的老闆
[372.00s - 374.00s] 对实际风险比较大
[376.00s - 377.00s] 而且
[377.00s - 379.00s] 按下你局部的严重情况
[379.00s - 380.00s] 医生给您开药
[380.00s - 382.00s] 因为如果严重很重的话
[382.00s - 384.00s] 他也不愿意给您拔出
[384.00s - 385.00s] 我风险也大
[385.00s - 388.00s] 这些人创考一旦感染不如何
[388.00s - 390.00s] 和病其他问题
[390.00s - 391.00s] 您风险更大
[391.00s - 393.00s] 所以没必要
[393.00s - 396.00s] 您自己大家都觉得
[396.00s - 398.00s] 严重不是病或者是脚病
[398.00s - 399.00s] 当然他主要是
[399.00s - 401.00s] 其他相关风险太多
[401.00s - 404.00s] 好
[404.00s - 406.00s] 他还要慢慢提救
[406.00s - 408.00s] 他如果是跟金棒
[408.00s - 409.00s] 什么金粉
[409.00s - 411.00s] 然后有关也会引起严严
[412.00s - 413.00s] 听个
[413.00s - 415.00s] 很多人有一部分人
[415.00s - 417.00s] 他表现就不是单纯的
[417.00s - 419.00s] 经常的举部或者肩败
[419.00s - 421.00s] 就表现了压草
[421.00s - 423.00s] 他们有人拔绝的都手套
[427.00s - 429.00s] 好 谢谢
[429.00s - 430.00s] 不客气
[430.00s - 432.00s] 您还有其他小子群
[432.00s - 433.00s] 没有
[433.00s - 436.00s] 你没有其他子群的话
[436.00s - 438.00s] 少会对付金屏下的见
