=== Whisper转录结果 ===
音频文件: ba84462e-fdee-42fe-9439-86808b3d3212.wav
使用模型: small
检测语言: zh
语言概率: 未知
转录时间: 232.20秒

转录文本:
你好,我是医生,您好,您可以自询了,我想问一下就是我们家老人有高血糖、高血压。现在这段牙疼我们再去医院看看了一下说是牙有一个牙坏了要拔但是他现在血糖血压还没控得下来就现在在家控制好的您可以请什么帮助这里在家控制时段时间的牙疼这种情况下他们能吃点什么药吗您当时去到医院里医生给您的所谓的控制的药里有涉及到止疼的或者是胶炎的药吗他没有给我们开任何药就说要回来把血糖血压降下来然后再去拔牙那您现在再做积极的血压血糖的调整吗是血压血糖都下来了当然所以要把那个R4P0也要停药一周我们还没到时间您现在确认您现在的牙疼是绝对的牙齿的问题而不是比如说心脏疾病胆囊疾病等等造成了一些牵扯痛是吧如果说造成这种牵扯痛的话他会有其他的感觉吗没有但是您需要除外心肛心脚痛或者其他的一些疾病造成的一些放射痛或者是牵扯到的一些疼痛就是您能确认口腔科说您的牙齿是确实有根本性的问题能够引起您当前的疼痛对吗对他看了说已经烂了一点您现在停了R4P0多少天了停了今天就停三天三天基本也可以了吧应该对 我我能建议您的是因为您当前能用的如果是确定是牙齿的疼痛那您只能用的就是止疼药但是其实止疼药物来说有一些风险那就是比如说他会造成一些因为有糖尿病尤其是高血压他会合并一些其他上气的诊汉只要能确认肝肾没有相应的功能不全没有消化到出血或者亏羊这些严重的胃肠疾病那您是可以试着用一些止疼药的比如说最常用的部落分这类的那个我们说R4P您先说我想起来了您可以去试着去药店看看有没有那叫牙痛听的就是局部用在你这颗坏牙的局部它可能会涉及到一些局部荣耀就是把一些就是它是一个酒精之际里边可能是有一些由于牙齿的取齿牙随的一些病病造成的这类问题它可以占取一部分各在牙齿局部能够起到一定的止疼效果可以问可以看看有没有这样的话牙痛可能风险会小一些只能是这样好了它叫牙痛听去医院问一下大爱夫如果说他停药三天也能接受或者说他就是这颗坏牙造成的您不对牙齿进行手术的处理的话您任何药只能是简单对症效果可以跑牙痛听三个字冷协牙痛听就是酒精的疆一个酒之旁一个钉送钉好我知道了我刚才打电话会这个医院他说光这个止疼不行还想消炎那这旁边更很压老人来说消炎药它能吃什么呢您好您想没想过像这类的处方用药您最好还是去医院让医生给您开吧原则上说我们变化机型是不能用一些开剧一些处方药的这个不合规我就是想问一下它能不能吃这个假消错分假消错什么也有叫假消错分不分的交囊的一个药没听过这个药为什么后面还有其他的字呀哦这个家里这个药就叫这个名后面它能吃假消错吗假消错会有一些未成道症状可能会对当时有一定的就是得看它基础问题基础情况不了解的话不确定哦想到我就还是去医院去看一眼是这个意思啊我觉得这样更安全既然您能打电话去到那它能接着您给您建议的话那您何不您要是方便就医而且年龄这么大合病的这些疾病这么多你就更应该谨慎了医院谨慎您个人也得谨慎因为这样的老人这时风险比较大而且让您看一下您局部的严重情况医生给您开药因为如果严重很重的话他也不愿意给您拔除风险也大对就让别人窍口一旦感染不愈合合病其他问题您风险更大所以没必要您因为您自己大家都觉得牙疼不是病或者是小病但是它主要是其他相关风险太多好的我还要问一个问题就是它这个如果是跟新放什么新风老人有关也会引起牙疼吗新稿很多或者有一部分人他表现的就不是单纯的心脏的局部或者肩背他就表现了牙疼有的人感觉的就是手头好的谢谢不客气您还有其他需要咨询吗没有了再见您没有其他咨询的话稍后对附近评价再见

详细时间戳:
[0.00s - 27.00s] 你好,我是医生,您好,您可以自询了,我想问一下就是我们家老人有高血糖、高血压。
[27.00s - 29.56s] 现在这段牙疼
[29.56s - 31.28s] 我们再去医院看看了一下
[31.28s - 34.32s] 说是牙有一个牙坏了要拔
[34.32s - 37.64s] 但是他现在血糖血压还没控得下来
[37.64s - 39.00s] 就现在在家控制
[42.12s - 43.04s] 好的
[43.04s - 45.68s] 您可以请什么帮助
[45.68s - 48.36s] 这里在家控制时段时间的牙疼
[48.36s - 50.80s] 这种情况下他们能吃点什么药吗
[50.80s - 57.00s] 您当时去到医院里
[57.00s - 60.00s] 医生给您的所谓的控制的药里
[60.00s - 63.72s] 有涉及到止疼的或者是胶炎的药吗
[63.72s - 65.88s] 他没有给我们开任何药
[65.88s - 69.56s] 就说要回来把血糖血压降下来
[69.56s - 70.92s] 然后再去拔牙
[70.92s - 75.40s] 那您现在再做积极的血压血糖的调整吗
[75.40s - 78.20s] 是血压血糖都下来了
[78.36s - 79.32s] 当然
[79.32s - 82.28s] 所以要把那个R4P0也要停药一周
[82.28s - 83.76s] 我们还没到时间
[86.92s - 90.56s] 您现在确认您现在的牙疼
[90.56s - 92.72s] 是绝对的牙齿的问题
[92.72s - 95.32s] 而不是比如说心脏疾病
[95.32s - 98.68s] 胆囊疾病等等造成了一些牵扯痛
[98.68s - 99.32s] 是吧
[101.16s - 103.88s] 如果说造成这种牵扯痛的话
[103.88s - 106.32s] 他会有其他的感觉吗
[107.24s - 108.24s] 没有
[108.24s - 111.12s] 但是您需要除外心肛心脚痛
[111.12s - 116.04s] 或者其他的一些疾病造成的一些放射痛
[116.04s - 118.40s] 或者是牵扯到的一些疼痛
[119.32s - 122.64s] 就是您能确认口腔科说
[122.64s - 127.28s] 您的牙齿是确实有根本性的问题
[127.28s - 129.64s] 能够引起您当前的疼痛
[129.64s - 130.84s] 对吗
[130.84s - 131.32s] 对
[131.32s - 133.84s] 他看了说已经烂了一点
[136.32s - 139.04s] 您现在停了R4P0多少天了
[139.04s - 140.84s] 停了今天就停三天
[142.72s - 144.72s] 三天基本也可以了吧
[145.76s - 146.32s] 应该
[146.32s - 147.04s] 对 我
[149.04s - 151.48s] 我能建议您的是
[151.48s - 153.16s] 因为您当前能用的
[153.16s - 156.36s] 如果是确定是牙齿的疼痛
[156.36s - 158.84s] 那您只能用的就是止疼药
[158.84s - 162.56s] 但是其实止疼药物来说有一些风险
[162.56s - 167.04s] 那就是比如说他会造成一些
[167.04s - 170.24s] 因为有糖尿病尤其是高血压
[170.24s - 173.64s] 他会合并一些其他上气的诊汉
[173.64s - 179.16s] 只要能确认肝肾没有相应的功能不全
[179.16s - 182.08s] 没有消化到出血或者亏羊
[182.08s - 184.12s] 这些严重的胃肠疾病
[184.12s - 187.44s] 那您是可以试着用一些止疼药的
[187.44s - 190.00s] 比如说最常用的部落分这类的
[192.72s - 194.56s] 那个
[194.56s - 196.20s] 我们说R4P
[196.20s - 196.80s] 您先说
[196.80s - 197.80s] 我想起来了
[197.80s - 200.60s] 您可以去试着去药店看看
[200.60s - 203.28s] 有没有那叫牙痛听的
[203.28s - 206.88s] 就是局部用在你这颗坏牙的局部
[206.88s - 210.56s] 它可能会涉及到一些局部荣耀
[210.56s - 212.12s] 就是把一些
[212.12s - 214.08s] 就是它是一个酒精之际
[214.08s - 217.68s] 里边可能是有一些由于牙齿的取齿
[217.68s - 220.88s] 牙随的一些病病造成的这类问题
[220.88s - 222.36s] 它可以占取一部分
[222.36s - 226.44s] 各在牙齿局部能够起到一定的止疼效果
